seed,probMeat,k,EquipmentPerPerson,nPeople,switchers,meatersA1,meatersA2,meatersImmo
505941851,0.6,1.7000000000000004,0.5,1500.0,74998.0,53.0,44.0,53.0
446984769,0.6,1.7000000000000004,0.5,1500.0,77975.0,51.0,48.0,49.0
-554464746,0.6,1.7000000000000004,0.5,1500.0,73935.0,49.0,48.0,52.0
-1804421021,0.6,1.7000000000000004,0.5,1500.0,74959.0,51.0,47.0,51.0
-469466503,0.6,1.7000000000000004,0.5,1500.0,73883.0,56.0,50.0,49.0
-18313297,0.6,1.7000000000000004,0.5,1500.0,77456.0,51.0,50.0,49.0
1345545491,0.6,1.7000000000000004,0.5,1500.0,78574.0,49.0,48.0,50.0
1131672843,0.6,1.7000000000000004,0.5,1500.0,76102.0,50.0,53.0,51.0
788762257,0.1,1.8000000000000005,0.5,1000.0,53041.0,41.0,53.0,44.0
-467702021,0.1,1.8000000000000005,0.5,1000.0,50499.0,40.0,53.0,39.0
277909107,0.1,1.8000000000000005,0.5,1000.0,50598.0,45.0,53.0,40.0
-2126892948,0.1,1.8000000000000005,0.5,1000.0,49612.0,43.0,55.0,41.0
333732485,0.1,1.8000000000000005,0.5,1000.0,51196.0,39.0,50.0,42.0
-1206128285,0.1,1.8000000000000005,0.5,1000.0,46784.0,38.0,50.0,42.0
442738756,0.1,1.8000000000000005,0.5,1000.0,50853.0,42.0,56.0,42.0
-1886370156,0.1,1.8000000000000005,0.5,1000.0,52320.0,46.0,53.0,46.0
-1624078029,0.1,1.8000000000000005,0.5,1000.0,50937.0,40.0,58.0,42.0
2022515733,0.1,1.8000000000000005,0.5,1000.0,49649.0,44.0,51.0,47.0
426796764,0.4,0.04,0.5,1000.0,1326.0,45.0,54.0,45.0
-767872704,0.4,0.04,0.5,1000.0,1326.0,43.0,49.0,42.0
-2094317468,0.4,0.04,0.5,1000.0,1224.0,49.0,49.0,44.0
-1993361446,0.4,0.04,0.5,1000.0,1307.0,46.0,53.0,49.0
1485930501,0.4,0.04,0.5,1000.0,1333.0,44.0,61.0,43.0
-947159394,0.4,0.04,0.5,1000.0,1398.0,49.0,52.0,41.0
-1282832832,0.4,0.04,0.5,1000.0,1365.0,45.0,48.0,46.0
-1472330640,0.4,0.04,0.5,1000.0,1360.0,43.0,50.0,48.0
-2079968732,0.4,0.04,0.5,1000.0,1258.0,44.0,58.0,49.0
-1023028921,0.4,0.04,0.5,1000.0,1270.0,47.0,49.0,41.0
1985750437,0.8,0.08,0.5,1000.0,2692.0,55.0,47.0,58.0
-259768209,0.8,0.08,0.5,1000.0,2662.0,60.0,46.0,58.0
1342540971,0.8,0.08,0.5,1000.0,2711.0,65.0,45.0,65.0
1096666494,0.8,0.08,0.5,1000.0,2467.0,61.0,36.0,60.0
-1250242471,0.8,0.08,0.5,1000.0,2450.0,62.0,45.0,61.0
-1955099627,0.8,0.08,0.5,1000.0,2622.0,60.0,42.0,58.0
-622589474,0.8,0.08,0.5,1000.0,2645.0,59.0,53.0,57.0
-578476883,0.8,0.08,0.5,1000.0,2592.0,56.0,50.0,63.0
1363485851,0.8,0.08,0.5,1000.0,2467.0,65.0,45.0,59.0
1657697381,0.8,0.08,0.5,1000.0,2563.0,62.0,49.0,58.0
967148218,0.1,1.3,0.5,1000.0,39465.0,41.0,50.0,48.0
-835236979,0.1,1.3,0.5,1000.0,40799.0,47.0,52.0,41.0
-771622097,0.1,1.3,0.5,1000.0,39521.0,39.0,53.0,40.0
218803269,0.1,1.3,0.5,1000.0,38123.0,47.0,58.0,40.0
-557994944,0.1,1.3,0.5,1000.0,38886.0,43.0,50.0,42.0
542200632,0.1,1.3,0.5,1000.0,39376.0,40.0,58.0,42.0
-1762540833,0.1,1.3,0.5,1000.0,38955.0,41.0,59.0,42.0
-16462350,0.1,1.3,0.5,1000.0,38646.0,47.0,52.0,42.0
242858713,0.1,1.3,0.5,1000.0,40310.0,36.0,55.0,44.0
-40516057,0.1,1.3,0.5,1000.0,40287.0,44.0,51.0,42.0
94678213,0.2,0.01,0.5,500.0,194.0,26.0,41.0,16.0
-1676349131,0.2,0.01,0.5,500.0,152.0,19.0,44.0,24.0
-477048733,0.2,0.01,0.5,500.0,157.0,25.0,39.0,22.0
1320336934,0.2,0.01,0.5,500.0,119.0,21.0,35.0,18.0
227399670,0.2,0.01,0.5,500.0,172.0,27.0,46.0,28.0
-530011372,0.2,0.01,0.5,500.0,140.0,28.0,41.0,23.0
1484558913,0.2,0.01,0.5,500.0,170.0,21.0,37.0,30.0
-2128062954,0.2,0.01,0.5,500.0,162.0,26.0,36.0,27.0
-584648512,0.2,0.01,0.5,500.0,162.0,22.0,37.0,25.0
-1007403026,0.2,0.01,0.5,500.0,149.0,23.0,33.0,19.0
209496540,0.4,0.07,0.5,1000.0,2366.0,44.0,58.0,46.0
1323711914,0.4,0.07,0.5,1000.0,2317.0,44.0,55.0,49.0
-1702429613,0.4,0.07,0.5,1000.0,2125.0,45.0,51.0,46.0
-586385308,0.4,0.07,0.5,1000.0,2376.0,46.0,53.0,46.0
1248552594,0.4,0.07,0.5,1000.0,2418.0,48.0,58.0,44.0
-1103803502,0.4,0.07,0.5,1000.0,2320.0,50.0,53.0,48.0
282877379,0.4,0.07,0.5,1000.0,2400.0,49.0,55.0,49.0
1361631312,0.4,0.07,0.5,1000.0,2397.0,48.0,51.0,49.0
-1964662599,0.4,0.07,0.5,1000.0,2287.0,49.0,44.0,48.0
1880721555,0.4,0.07,0.5,1000.0,2175.0,42.0,53.0,45.0
-1559487675,0.2,0.4,0.5,1500.0,19909.0,45.0,50.0,44.0
-440921992,0.2,0.4,0.5,1500.0,19694.0,48.0,50.0,50.0
-620689318,0.2,0.4,0.5,1500.0,19554.0,49.0,54.0,49.0
-1712270419,0.2,0.4,0.5,1500.0,20108.0,48.0,49.0,53.0
-889874220,0.2,0.4,0.5,1500.0,19753.0,49.0,53.0,43.0
-2032870783,0.2,0.4,0.5,1500.0,19503.0,52.0,50.0,45.0
2129495225,0.2,0.4,0.5,1500.0,19143.0,49.0,52.0,47.0
1196831418,0.2,0.4,0.5,1500.0,20040.0,44.0,47.0,49.0
-2061522672,0.2,0.4,0.5,1500.0,20076.0,50.0,55.0,49.0
2115859922,0.2,0.4,0.5,1500.0,19966.0,43.0,55.0,46.0
-1543515183,0.8,0.30000000000000004,0.5,1500.0,14971.0,50.0,49.0,56.0
1248318180,0.8,0.30000000000000004,0.5,1500.0,14539.0,51.0,51.0,53.0
1603693739,0.8,0.30000000000000004,0.5,1500.0,14883.0,54.0,46.0,52.0
1848548966,0.8,0.30000000000000004,0.5,1500.0,14231.0,52.0,44.0,58.0
