evolution$generation,maxProbaToSwitch,inertiaCoefficient,healthyDietReward,interpersonalInfluence,absoluteDeltaHealth,evolution$samples
507,0.8647209718130437,0.26943085643542086,0.46631410107402527,0.6268516037411873,-0.5,16
507,0.5032925530659407,0.15573404992893947,0.7879849906100269,0.3089802171895082,-0.5,14
507,0.08723648249560023,0.8009121937587025,0.6464876931540098,0.947817869471792,-0.5,10
507,0.5397178098944195,0.9633257504989621,0.9031356091218652,0.8034831435659184,-0.5,14
507,0.9721714428824937,0.09239937627059147,0.4813072541251462,0.5981058243555442,-0.5,11
507,0.15117418719871117,0.3209656437203603,0.5072309173051972,0.5903117897877141,-0.5,11
507,0.6447938628727714,0.017374413768290298,0.8943715931239251,0.6393102280305802,-0.5,12
507,0.7987098358926843,0.22818193352624805,0.35770987298808526,0.07462198718347546,-0.5,10
507,0.4482067249429904,0.03833364572325415,0.5004176043878998,0.5301669148529708,-0.5,18
507,0.5125702180347009,0.731185406835168,0.5068290613242419,0.7935010415479797,-0.5,17
507,0.09297613254019166,0.07136722549160801,0.1053924111872,0.15796983473557202,-0.5,18
507,0.7686080480284201,0.884394682201225,0.4368435051592636,0.03907275873619653,-0.5,12
507,0.7356502112785089,0.16473770410289523,0.2909605749049768,0.5152368763707399,-0.5,11
507,0.42849289499243093,0.4507718356683377,0.2319056292966899,0.5156578677589159,-0.5,11
507,0.735650211278509,0.16473770410289523,0.2909605749049768,0.5152368763707399,-0.5,11
507,0.352908759144573,0.5204745074987669,0.8828076050682951,0.4813537979895264,-0.5,10
507,1.0,0.046663381019269146,0.08375901316768486,0.8345990769153988,-0.5,12
507,0.5697026681823039,0.25696278264719274,0.44731003265749947,0.4613011942589982,-0.5,11
507,0.8082394613226951,0.502720092365071,0.38699420269839013,0.4670539086772505,-0.5,11
507,0.7571942633828375,0.8595063209475245,0.9934932260655783,0.7182627856732053,-0.5,8
507,0.23705540867464725,0.02093844224612451,0.8769169160771497,0.24562044655703574,-0.5,11
507,0.23705540867464725,0.02093844224612452,0.8769169160771497,0.24562044655703574,-0.5,11
507,0.534504932020426,0.6096369734787177,0.8816725728794896,0.28400041211942906,-0.5,15
507,0.15948559411657603,0.14545394929633315,0.32204147513248405,0.9709512163277532,-0.5,11
507,0.5047817476014986,0.21270311334617276,0.5189918385214352,0.3173581979260591,-0.5,14
507,0.9995836233965198,0.11656035273165899,0.5861321581290229,0.291744185822715,-0.5,12
507,0.10532969348145427,0.19553264415084404,0.07854998735802354,0.2983012488808625,-0.5,12
507,0.9020868747518958,0.3148392520606733,0.3329051551408364,0.8526161094118718,-0.5,15
507,0.5268723941516698,0.6920102319775234,0.28708924099990774,0.2240041763585343,-0.5,24
507,0.7286909075295993,0.2877425609076387,0.08395381724486128,0.9362264579144484,-0.5,5
507,0.9767042853738477,0.3143073709310491,0.42499804071227126,0.9372027004336451,-0.5,5
507,0.7286909075295993,0.1569273834746967,0.08395381724486128,0.9362264579144481,-0.5,5
507,0.7286909075295993,0.24674443626084136,0.08395381724486128,0.9362264579144481,-0.5,5
507,0.40822178062326875,0.21116094881963154,0.3776364399451968,0.932790012843221,-0.5,5
507,0.7801190204421027,0.07190101668893112,0.3417360509304579,0.3805396038117994,-0.5,10
507,0.8342736307451686,0.009986492514267198,0.3292775007168296,0.38793147068326794,-0.5,10
507,0.5694720521815526,0.12689171726981763,0.33241295698659235,0.9692431939858919,-0.5,20
507,0.49782763757021686,0.6117684301123176,0.19256113592478294,0.05849336980506038,-0.5,5
507,0.9626066264878095,0.7546048991714671,0.22694428338982697,0.06536959023296296,-0.5,11
507,1.0,0.34367268251119687,0.030754771255306457,0.20185382982741218,-0.5,12
507,0.12875951494682059,0.15764455285148515,0.6918947869259346,0.4060474668980303,-0.5,17
507,0.780476919330424,0.9382204559211837,0.6701724228300157,0.27784005016905544,-0.5,20
507,0.9399604463966034,0.5611107574579963,0.46166005171408875,0.7316444944732399,-0.5,19
507,0.5105766795543041,0.3260695727895102,1.0,0.7505782411985573,-0.5,8
507,0.5105766795543041,0.3260695727895102,0.06181149222121851,0.7505782411985573,-0.5,8
507,0.973702276711689,0.37642166931209475,0.3260502722568357,0.7480772999771206,-0.5,16
507,0.14568545378115072,0.8593202324249285,0.09650367149177597,0.8816600615184382,-0.5,17
507,0.5980178322484451,0.1553899335038016,0.551056042018818,0.11196664974270541,-0.5,10
507,0.4294188709781872,0.20951080476677508,0.8176943091122446,0.6454635490690523,-0.5,14
507,0.7472788693604128,0.5129298432312996,0.14264473772088526,0.572642031497232,-0.5,11
507,0.5292375644208451,0.17632520925362627,0.6289898047125864,0.23775810746847958,-0.5,17
507,0.8002648656906267,0.722486412643901,0.9912324617934506,0.10454986603503344,-0.5,8
507,0.9715971524789833,0.4039223801315342,0.1759303115522694,0.10065439386106734,-0.5,8
507,0.4922830157025314,0.7923131510000563,0.8607089441136169,0.2648421718839232,-0.5,4
507,0.842447075745751,0.370953586363402,0.7223781616957463,0.2616093988255954,-0.5,4
507,0.14509169470337424,0.059378101790931836,0.4152316509449001,0.721143661794927,-0.5,20
507,0.2842082153583316,0.43178433322477255,0.3435594207589301,0.521372549695001,-0.5,13
507,0.42833977897711284,0.0329498878732255,0.39673695321770697,0.36861662558360986,-0.5,27
507,0.7099369576505432,0.8976370548050505,0.8665175245128545,0.3475971444697543,-0.5,15
507,0.07540334277605631,0.2719240154169922,0.7233439483408437,0.3374198663868593,-0.5,17
507,0.9475556549842505,0.06600624322038717,0.48671240072261224,0.32561776037436774,-0.5,15
507,0.6273878141624554,0.2323353942891857,0.4381899429670626,0.21383179301175373,-0.5,11
507,0.6504522415580747,0.3083206868660764,0.7768058510286471,0.005130972381137466,-0.5,15
507,0.22820196567756423,0.11833922598487878,0.1572902490494532,0.5037643328016501,-0.5,10
507,0.3092151442735618,0.9278337677660797,0.4411531120351153,0.607799088243598,-0.5,17
507,0.22930267808846222,0.7356202017746339,0.926918120711359,0.1426543023779705,-0.5,10
507,0.2402354785937817,0.34830077927338143,0.2316752602076093,0.5692236084623767,-0.5,10
507,0.23538310157909256,0.8066932677859335,0.5387570777938131,0.5655953537881093,-0.5,10
507,0.1770075495405301,0.3366782203784178,0.6622606912407558,0.8177552370209293,-0.5,8
507,0.6082187288654561,0.21116094881963154,0.3776364399451968,0.8117745032881132,-0.5,8
507,0.6082187288654564,0.21116094881963154,0.3776364399451968,0.811774503288113,-0.5,8
507,0.1770075495405301,0.33667822037841727,0.6622606912407558,0.81775523702093,-0.5,8
507,0.4011317440329867,0.2865670546581418,0.6060098244278656,1.0,-0.5,12
507,0.07703009204539879,0.12222371530140208,0.17535645486343343,0.1281216870373736,-0.5,22
507,0.6815595434881041,0.33502300266923823,0.9159147946325348,0.04503606113399468,-0.5,5
507,0.2895414640896363,0.4529516404441005,0.16654321911510994,0.04053384349434386,-0.5,5
507,0.7298326987044768,0.24826581063691155,0.9234443485348034,0.04223242157081386,-0.5,5
507,0.2882068591280482,0.8318462560679414,0.6853204414467713,0.37056586858566964,-0.5,10
507,0.8494683326318325,0.3761916995716984,0.3655404760145615,0.5538124327601353,-0.5,6
507,0.5318022436627683,0.6642717228741164,0.326311189127118,0.4212559865827594,-0.5,10
507,0.9921884590784953,0.7675426394377192,0.8822837495511373,0.9011300570941765,-0.5,16
507,0.40620301019665606,0.41533771333172487,0.8061167345177193,0.43374701132458693,-0.5,13
507,0.2155232089489378,0.126722473654723,0.0064155202983662285,0.86297015605123,-0.5,11
507,0.2155232089489378,0.12672247365472297,0.0064155202983662285,0.8629701560512296,-0.5,11
507,0.65203497366687,0.41900826262827984,0.5372905976103501,0.7600786533314209,-0.5,9
507,0.12364734614807715,0.8810279541449988,0.19709475468406734,0.02494125067857178,-0.5,10
507,0.4518936923242953,0.2249725796629121,0.7578951199343767,0.9520718864302786,-0.5,12
507,0.4518936923242953,0.22497257966291206,0.7578951199343769,0.9520718864302786,-0.5,12
507,0.12150686866113049,0.21538720071330042,0.15536119566415763,0.9523462332833705,-0.5,12
507,0.4877982656706281,0.5132537125149472,0.3090871412530789,0.8430675273181116,-0.5,8
507,0.972465892824932,0.29447229648101914,0.5725871272923602,0.25636095133035464,-0.5,4
507,0.4011317440329867,0.2865670546581418,0.6060098244278656,0.25638991135916545,-0.5,4
507,0.5807718558635027,0.3688852425776774,0.2765740291902492,0.9254633012403515,-0.5,13
507,0.8703231902571442,0.5579134493548459,0.36120263873593283,0.82678951703324,-0.5,16
