evolution$generation,maxProbaToSwitch,inertiaCoefficient,healthyDietReward,interpersonalInfluence,deltaHealth,deltaAverageOpinion,deltaMSEOpinion,evolution$samples
1514,0.001503089574247393,0.36945617482235904,0.7068295490255876,0.15856914682522655,0.030000000000000027,0.13514123263457944,0.0072011667545970656,47
1514,0.198994703962021,2.3245926309268082E-5,0.9324097771885099,1.0,0.33999999999999997,0.006894348692908947,1.623833878186877E-11,73
1514,0.009800171329324665,0.2045650279034885,0.002304540335041131,1.0,0.36,0.18104934605256962,2.6603494106109136E-8,3
1514,0.0017826051185190908,0.24203551027123832,0.5528956925480859,0.49899022690416595,0.10999999999999999,0.19863254409529962,7.375089869600436E-4,1
1514,0.04489260661681421,0.24549563183198903,5.917383041994545E-4,1.0,0.43999999999999995,0.052359723951075354,1.036422539711167E-9,27
1514,0.0010546371357259977,0.6345105557675392,0.18197872768800002,0.8214349479165985,0.27,0.46621675157816944,3.3885006822268707E-4,100
1514,0.32540796699612784,0.7707043698451397,0.43104519579712175,0.0,0.0,0.1926760924612847,0.03712407660614956,100
1514,0.003086717208412312,0.24945972862340243,0.5568594674996226,0.29890690760203426,0.20999999999999996,0.2818673866110235,8.960646734729035E-4,27
1514,0.34643613431599873,0.9695197380628127,0.39733820291568733,0.0,0.0,0.2423799345157036,0.05874803265583652,100
1514,0.7503237694853895,0.01691514708271681,1.8272230861171546E-4,1.0,0.22999999999999998,9.065089617088518E-4,4.888888330243774E-13,45
1514,0.6930408854593357,0.03610736976373174,0.013110521337271384,1.0,0.5,0.2851464985996965,3.7594152514438844E-31,100
1514,0.6504522415580747,0.9999802722080537,0.7768058510286471,0.0051309723811374655,0.020000000000000018,0.26002400744389204,0.062382618547581564,100
1514,0.0213853600799884,0.2001229318595593,2.2998880190907862E-4,0.9954461244159807,0.32999999999999996,0.1212004814886215,3.421595148080663E-10,1
1514,0.016578537436763154,0.11214111560717496,0.0016654913471609994,1.0,0.29000000000000004,0.06049415855844481,4.261163009286392E-9,28
1514,2.7023231182479355E-4,0.8780905183470998,0.7181375248136833,0.5425320374451742,0.06000000000000005,0.3619149154439457,0.014086540330811071,34
1514,0.0020655423300123326,0.663965451052452,0.6098791644322412,0.2768511693559444,0.27,0.4051425604398997,0.0029563327189782176,71
1514,0.0073855801918724494,0.10578703137887552,0.00284392487401725,1.0,0.17000000000000004,0.09278671876180111,8.297841564222192E-9,1
1514,0.01302848362490139,0.20313804898004956,0.0016655498394038328,1.0,0.38,0.12182150680868481,1.1770076413003594E-8,42
1514,5.439113638096444E-4,0.3868454285436922,0.8821424896675936,1.0,0.21999999999999997,0.4999999999999999,3.451266460341927E-33,64
1514,0.0,0.17180055807444372,0.5233459762729893,0.6824209946262147,0.0,0.11253623287041287,0.001155462763743197,100
1514,0.5039669100926456,0.05518699013863482,0.011284370146922964,1.0,0.5,0.4049346768294484,1.115498623789087E-30,100
1514,2.5964444812063897E-4,0.557854045214761,0.7192839885729497,1.0,0.12,0.5,4.807121141190541E-33,100
1514,0.001860964386697435,0.9759527281667445,0.9924721611401162,0.20763212312338464,0.17000000000000004,0.39938044527272154,0.01787211998109328,51
1514,1.9428339577120222E-4,0.9917219817488331,0.5858171236813443,1.0,0.07999999999999996,0.49742777893160195,8.795817408198182E-6,100
1514,4.240715475768988E-5,0.5463842151135866,0.18856594684613448,0.9183543753091227,0.020000000000000018,0.42214605955286966,9.162443958168141E-4,100
1514,0.0,0.5463842151135865,0.18856594684613448,0.9183543753091227,0.0,0.4156658668362798,8.252726128533445E-4,100
1514,0.002692160772312066,0.9875336435268862,0.7611130036793614,0.199965659810564,0.24,0.436017680658211,0.010723849436148467,1
1514,0.0015119933655256296,0.38583374791856945,0.2715438567267312,0.5714202211155373,0.18000000000000005,0.3286509710348437,0.0015783357689559763,100
