day,slice,sex,age,educ,effective,healthy,avgOpinion
2,2,2,3,3,298381,153134,0.4684857343597344
3,0,1,1,1,268611,7815,0.17296121459692676
3,0,1,1,2,154914,10556,0.1926564850246111
3,0,1,1,3,134105,7518,0.20537992801647784
3,0,1,2,1,1077731,46848,0.18207983021409724
3,0,1,2,2,663053,31884,0.19342338485258778
3,0,1,2,3,622417,82659,0.25371364754073245
3,0,1,3,1,424223,31473,0.2101705821857938
3,0,1,3,2,261792,53538,0.2859023963776788
3,0,1,3,3,263881,33306,0.24816388378061432
3,0,2,1,1,267877,20946,0.20262705058355465
3,0,2,1,2,186810,8185,0.19157331088013566
3,0,2,1,3,123197,5443,0.21034324136324503
3,0,2,2,1,1105278,124419,0.23428343716209396
3,0,2,2,2,814044,84912,0.2347780356507523
3,0,2,2,3,560312,107347,0.2922743773115894
3,0,2,3,1,533994,62609,0.24517722626037544
3,0,2,3,2,403634,79500,0.2911375682156958
3,0,2,3,3,298397,152647,0.46464313793891754
3,1,1,1,1,268558,7753,0.1606489142428855
3,1,1,1,2,154869,10351,0.1825690105548414
3,1,1,1,3,134081,7454,0.19497920695200555
3,1,1,2,1,1077738,46584,0.17060895061252332
3,1,1,2,2,662993,31707,0.18148442543933405
3,1,1,2,3,622406,82370,0.24456417968423202
3,1,1,3,1,424271,31434,0.19752011428841718
3,1,1,3,2,261825,53487,0.2782383987035311
3,1,1,3,3,263894,33246,0.24101150504358906
3,1,2,1,1,267863,20805,0.19085375382133501
3,1,2,1,2,186793,8132,0.17898123760008955
3,1,2,1,3,123173,5410,0.1964103151258972
3,1,2,2,1,1105362,124130,0.2213794367866859
3,1,2,2,2,814029,84701,0.22227645256672734
3,1,2,2,3,560322,107132,0.28299033775560795
3,1,2,3,1,534014,62557,0.23173386944422625
3,1,2,3,2,403679,79312,0.27955321162879826
3,1,2,3,3,298400,152396,0.46489184280008966
3,2,1,1,1,268536,7643,0.15089664735055908
3,2,1,1,2,154861,10095,0.1733974939444675
3,2,1,1,3,134059,7363,0.18617666853194773
3,2,1,2,1,1077786,46236,0.16147708678626865
3,2,1,2,2,662936,31413,0.17137770110596137
3,2,1,2,3,622412,81952,0.2334442045734054
3,2,1,3,1,424293,31414,0.18770834384611926
3,2,1,3,2,261836,53443,0.271115159188778
3,2,1,3,3,263910,33194,0.23405130447483788
3,2,2,1,1,267860,20603,0.17982056085526715
3,2,2,1,2,186787,8037,0.1686419007145026
3,2,2,1,3,123158,5341,0.18504854306052276
3,2,2,2,1,1105395,123800,0.2097809881283302
3,2,2,2,2,814030,84373,0.2096829315220208
3,2,2,2,3,560276,106693,0.26925869789631235
3,2,2,3,1,534033,62510,0.22024249420474562
3,2,2,3,2,403697,79049,0.2674660355888868
3,2,2,3,3,298405,152095,0.45594911075562944
4,0,1,1,1,268469,7554,0.1440234912636611
4,0,1,1,2,154773,9860,0.1672447441653791
4,0,1,1,3,134031,7260,0.18007326233220933
4,0,1,2,1,1077862,46016,0.15500424842233979
4,0,1,2,2,662853,31177,0.16466684513425442
4,0,1,2,3,622384,81550,0.22767243091631253
4,0,1,3,1,424349,31410,0.1803746522697989
4,0,1,3,2,261844,53425,0.266379051227816
4,0,1,3,3,263934,33139,0.22902621377741295
4,0,2,1,1,267833,20455,0.17340960980411765
4,0,2,1,2,186737,7949,0.1613842083940191
4,0,2,1,3,123138,5270,0.1775520357038353
4,0,2,2,1,1105472,123593,0.20267640617731913
4,0,2,2,2,814064,84110,0.20265358837555186
4,0,2,2,3,560286,106308,0.26349702028610616
4,0,2,3,1,534102,62477,0.21208592033376425
4,0,2,3,2,403728,78826,0.2611575303947861
4,0,2,3,3,298411,151789,0.45280549597280656
4,1,1,1,1,268393,7494,0.13865431628073197
4,1,1,1,2,154701,9671,0.16308284515273763
4,1,1,1,3,134015,7213,0.17555997696155046
4,1,1,2,1,1077887,45856,0.1500286931887656
4,1,1,2,2,662777,31011,0.15962665449562638
4,1,1,2,3,622367,81352,0.22442183959584255
4,1,1,3,1,424418,31400,0.17472167975474012
4,1,1,3,2,261880,53421,0.2624539845496686
4,1,1,3,3,263943,33115,0.2259124695256075
4,1,2,1,1,267802,20342,0.16857783642223495
4,1,2,1,2,186720,7879,0.1561137066962325
4,1,2,1,3,123105,5216,0.1719802016257471
4,1,2,2,1,1105592,123443,0.1972808939115713
4,1,2,2,2,814077,83975,0.19777804386060235
4,1,2,2,3,560280,106118,0.26078857250098
4,1,2,3,1,534150,62478,0.20650959424847218
4,1,2,3,2,403729,78660,0.25657958583081
4,1,2,3,3,298434,151641,0.4542376897133255
4,2,1,1,1,268310,7369,0.13481994241180167
4,2,1,1,2,154644,9445,0.15873074294160425
4,2,1,1,3,134001,7138,0.1713970829741396
4,2,1,2,1,1077919,45642,0.14598341718546876
4,2,1,2,2,662694,30745,0.15525458024031105
4,2,1,2,3,622352,81005,0.21828375716384843
4,2,1,3,1,424450,31397,0.17030110628150913
4,2,1,3,2,261884,53406,0.2584593252838789
4,2,1,3,3,263952,33091,0.22220034538556258
4,2,2,1,1,267810,20162,0.1631221404653011
4,2,2,1,2,186699,7797,0.15154960397164752
4,2,2,1,3,123083,5147,0.16760013051137984
4,2,2,2,1,1105670,123221,0.19160284680622783
4,2,2,2,2,814099,83737,0.19149455021382256
4,2,2,2,3,560270,105704,0.25262678166564734
4,2,2,3,1,534195,62459,0.20104162117732294
4,2,2,3,2,403785,78434,0.2500682978887757
4,2,2,3,3,298453,151400,0.4469074482131204
5,0,1,1,1,268230,7253,0.13175176274722308
5,0,1,1,2,154576,9237,0.15563708799014392
5,0,1,1,3,133969,7061,0.16884412286031739
5,0,1,2,1,1077971,45492,0.1431253587317916
5,0,1,2,2,662583,30534,0.15234164024409771
5,0,1,2,3,622310,80630,0.2160275434462237
5,0,1,3,1,424509,31390,0.16701338869744722
5,0,1,3,2,261909,53399,0.25624767378831903
5,0,1,3,3,263970,33054,0.21973767436030708
5,0,2,1,1,267774,20029,0.16053505272240826
5,0,2,1,2,186644,7704,0.14845704725649528
5,0,2,1,3,123054,5093,0.16433437564450337
5,0,2,2,1,1105807,123027,0.18874543016372558
5,0,2,2,2,814126,83507,0.188770972144978
5,0,2,2,3,560271,105356,0.25064298149147696
5,0,2,3,1,534281,62426,0.1974470663298426
5,0,2,3,2,403814,78226,0.24769853641855877
5,0,2,3,3,298472,151138,0.4452708850954803
5,1,1,1,1,268139,7171,0.12924089098456276
5,1,1,1,2,154509,9077,0.15355910419724575
5,1,1,1,3,133939,6991,0.1666748068763061
5,1,1,2,1,1077970,45367,0.1408163593741622
5,1,1,2,2,662482,30396,0.15004875682771762
5,1,1,2,3,622281,80438,0.21530008126165673
5,1,1,3,1,424637,31397,0.1644212471713953
5,1,1,3,2,261951,53404,0.2544078997872845
5,1,1,3,3,263987,33041,0.21842826307970628
5,1,2,1,1,267757,19919,0.15860008418943305
5,1,2,1,2,186608,7660,0.14604561857617493
5,1,2,1,3,123020,5055,0.16178943922750746
5,1,2,2,1,1105960,122898,0.1864995825086805
5,1,2,2,2,814127,83377,0.1870301611142075
5,1,2,2,3,560264,105164,0.25068539379959376
5,1,2,3,1,534335,62413,0.19522038330172464
5,1,2,3,2,403820,78056,0.24599741213254625
5,1,2,3,3,298484,150978,0.4477898504205979
5,2,1,1,1,268078,7044,0.1276101388882523
5,2,1,1,2,154459,8839,0.15093275488363847
5,2,1,1,3,133912,6918,0.16460643523194543
5,2,1,2,1,1077994,45160,0.1388731711381624
5,2,1,2,2,662387,30164,0.14788979310384656
5,2,1,2,3,622272,80114,0.21141757736860398
5,2,1,3,1,424665,31392,0.1623077586144554
5,2,1,3,2,261960,53394,0.2521119383966845
5,2,1,3,3,264003,33015,0.21617679804326986
5,2,2,1,1,267740,19739,0.1553841786077209
5,2,2,1,2,186583,7573,0.14392010723666288
5,2,2,1,3,123000,4998,0.15964944869792114
5,2,2,2,1,1106102,122692,0.18336213113039584
5,2,2,2,2,814113,83076,0.18336326849959947
5,2,2,2,3,560269,104794,0.2449632462108742
5,2,2,3,1,534400,62379,0.19239564945268284
5,2,2,3,2,403848,77801,0.2417619068454574
5,2,2,3,3,298485,150749,0.44112581353713803
