runN,Variables,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
16,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),20,34,38,45,47,46,47,47,46,48,48,50,49,50,48,49,49,51,50,51,53,55,54,55,51,50,50,51,52,50,49,50,50,51,53,49,54,57,53,50,50,49,48,49,51,50,47,49,51,49,46
16,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),14,32,42,41,44,46,49,50,48,49,50,48,47,50,51,49,47,47,49,50,48,50,50,47,49,47,44,46,50,49,50,48,49,50,48,46,49,47,50,49,49,50,49,48,47,47,49,47,46,50,50
16,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),17,56,53,54,49,51,52,53,50,49,50,48,49,51,50,52,53,55,52,53,52,44,49,55,49,49,48,54,49,51,50,48,52,50,50,52,54,50,45,47,49,52,52,48,49,50,49,49,52,51,48
17,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),14,54,55,54,55,54,53,53,51,51,54,49,53,54,53,51,56,55,54,49,55,54,52,56,52,49,47,49,46,50,50,52,54,54,54,51,45,51,50,52,55,50,54,53,50,53,52,49,55,48,50
17,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),16,34,36,41,42,44,47,48,44,46,48,48,47,47,44,47,47,46,48,50,51,49,47,48,48,50,52,52,52,49,52,50,47,47,48,49,49,48,48,48,47,49,48,47,47,44,46,47,49,46,50
17,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),13,28,36,37,42,45,42,42,46,46,45,44,47,47,46,43,45,46,47,48,49,47,46,45,47,47,46,49,50,49,49,47,47,47,47,48,48,47,43,42,45,47,48,47,48,49,47,47,48,49,48
17,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),14,59,54,57,51,52,53,53,50,52,49,51,55,52,55,53,51,48,53,52,52,47,55,53,49,54,49,52,51,50,50,50,47,50,52,53,48,52,51,55,52,52,49,55,55,48,51,52,47,56,50
18,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),15,51,56,51,56,52,51,52,52,53,50,51,53,53,53,54,53,48,52,52,51,49,56,53,51,54,52,53,51,49,55,49,49,56,48,48,57,52,53,51,48,51,52,50,55,55,50,57,54,52,51
18,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),17,36,42,48,45,46,48,45,49,45,47,49,50,50,49,50,51,50,49,47,50,51,48,48,50,51,50,47,46,47,49,49,47,48,45,49,50,51,50,51,50,51,50,49,50,50,47,49,49,47,50
18,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),14,30,40,42,44,47,45,45,48,48,49,46,46,45,46,47,47,47,48,46,44,45,49,49,47,49,47,51,47,46,49,46,49,46,46,48,49,50,51,49,51,49,47,46,46,47,46,46,50,48,48
